标题,作者,内容,朝代,体裁
再遣朝華,秦觀,玉人前去却重來，此度分携更不回。腸斷龜山離別處，夕陽孤塔自崔嵬。,唐,绝句
贈熊古月,蕭立之,千載虛中無法傳，授之握算子能玄。老夫後死今爲累，更欲蘄生又問年。,唐,绝句
七夕,宋祁,烏鵲橋頭羽蓋移，秋風長有隔年期。七襄終日難成報，不是星娥織作遲。,唐,绝句
泊女兒浦,洪芻,大孤山下兩牛鳴，女兒浦口一葦橫。已隔雲烟五老面，猶夢雷霆三峽聲。,唐,绝句
无题,李婴,荆楚风烟，寂寞近、中秋时候。露下冷、兰英将谢，苇花初秀。归燕殷勤辞巷陌，鸣蛩凄楚来窗牖。又谁念、江边有神仙，飘零久。横琴膝，携筇手。旷望眼，闲吟口。任纷纷万事，到头何有。君不见、凌烟冠剑客，何人气貌长依旧。归去来、一曲为君吟，为君寿。,宋,词
无题,沈瀛,酒巡未止。且听七言馀韵喜。弹到悲风。醒酒风吹路必通。休休避酒。末后茶仙来献寿。七碗休何。不独茶多酒亦多。,宋,词
留上李右相,高適,風俗登淳古，君臣挹大庭。深沈謀九德，密勿契千齡。獨立調元氣，清心豁窅冥。本枝連帝系，長策冠生靈。傅說明殷道，蕭何律漢刑。鈞衡持國柄，柱石總朝經。隱軫江山藻，氛氳鼎鼐銘。興中皆白雪，身外即丹青。江海呼窮鳥，詩書問聚螢。吹噓成羽翼，提握動芳馨。倚伏悲還笑，棲遲醉復醒。恩榮初就列，含育忝宵形。有竊丘山惠，無時枕席寧。壯心瞻落景，生事感浮萍。莫以才難用，終期善易聽。未爲門下客，徒謝少微星。,唐,诗
次韵,韓淲,不須酒畔狂吟裏，夢破寒亭自驚起。一梢孤月带霜華，靈山漫澈冰溪水。塵勞空度幾星霜，畫手猶能眼界香。午夜城頭吹畫角，綠毛么鳳墮其旁。不怕花前不我知，只愁花後少人思。如今紙上閒言語，未抵依稀落墨時。,唐,诗
題梨花圖,宋徽宗,樓臺影裏和風煖，絃管聲中瑞日長。從聽嬌鸚說來路，莫教蜂蝶損濃芳。,唐,绝句
无题,刘之才,苍藓粘溪路。帐山君、け然羽化，梦魂何许。曾约秋云萦客袖，舞傍吟皋砚坞。矫清唳、裂穿云宇。江碧空濛无处问，问孤山、梅底人知否。烟夜永，耿心语。瑶华一去成幽阻。倚修篁、抱琴愁绝，天寒日暮。城郭悲歌华表恨，此事销凝千古。有招隐、小山能赋。蕙帐空兮谁夜怨，算课骚、读易俱凄楚。步深窈，堕松露。,宋,词
園蔬薦村酒戲作,陸游,身入今年老，囊從早歲空。元無擊鮮事，常作啜醨翁。菹有秋菰白，羹惟野莧紅。何人萬錢筯，一笑對西風。,唐,律诗
竹溪直院盛稱起予草堂詩之善暇日覽之多有可恨者因效顰作十首亦前人廣騷反騷之意內二十九首用舊題惟歲寒知松柏被褐懷珠玉三首效山谷餘十八首別命題或追錄少作並存于卷以訓童蒙之意 惜花春起早,劉克莊,清早披衣起，春深好事家。非干眠警枕，自是惜名花。培溉疎泉脈，攀翻带露葩。看常先曉蝶，來未散晨鴉。風惡爲臺避，晴烘著幙遮。古人云晝短，莫待夕陽斜。,唐,诗
无题,吕胜己,一夜春寒透锦帏。满庭花露起多时。垒金梳子双双耍，铺翠花儿袅袅垂。人去后，信来稀。等闲屈指数归期。门前恰限行人至，喜鹊如何圣得知。,宋,词
